timestamp,date_GMT,team_name,a_team,ppg,Opp_PPG,PPG_Dif,goal_count,a_goal_count,corner_count,shots,shots_on_target,Opp_Shot_On_Target,SoT_Comp_Ratio,SoT_Diff,Goal_Sot,possession,xg,Op_Xg,xg_diff,odds_win,odds_draw,Win,prediction_label
1694112300,Sep 07 2023 - 6:45pm,Serbia,Hungary,1.75,2.25,-0.5,1,2,5,14,4,4,1,0,0.25,54,1.61,0.94,0.67,1.7,3.3,0,0
1694112300,Sep 07 2023 - 6:45pm,Denmark,San Marino,2.2,0,2.2,4,0,19,21,7,0,7,7,0.571428571,85,2.89,0.17,2.72,1.01,78,1,1
1694112300,Sep 07 2023 - 6:45pm,Slovenia,Northern Ireland,2.2,0.9,1.3,4,2,3,8,6,8,0.75,-2,0.666666667,48,1.2,1.71,-0.51,1.85,3.3,1,1
1694188800,Sep 08 2023 - 4:00pm,Georgia,Spain,1.2,2.63,-1.43,1,7,2,6,3,13,0.230769231,-10,0.333333333,28,0.75,2.87,-2.12,11,5,0,0
1694198700,Sep 08 2023 - 6:45pm,Cyprus,Scotland,0,2.13,-2.13,0,3,0,5,4,5,0.8,-1,0,43,0.8,1.28,-0.48,11,5.3,0,0
1694198700,Sep 08 2023 - 6:45pm,Croatia,Latvia,2,0.38,1.62,5,0,7,24,15,4,3.75,11,0.333333333,75,3.22,0.9,2.32,1.1,10,1,1
1694198700,Sep 08 2023 - 6:45pm,Turkey,Armenia,2.13,1,1.13,1,1,9,17,9,6,1.5,3,0.111111111,66,2.23,1.29,0.94,1.25,5.75,0,1
1694198700,Sep 08 2023 - 6:45pm,Slovakia,Portugal,2.2,3,-0.8,0,1,3,7,3,8,0.375,-5,0,44,0.9,1.65,-0.75,8,4.33,0,0
1694198700,Sep 08 2023 - 6:45pm,Bosnia-Herzegovina,Liechtenstein,0.82,0,0.82,2,1,11,9,5,4,1.25,1,0.4,76,1.3,0.76,0.54,1.04,17,1,0
1694198700,Sep 08 2023 - 6:45pm,Luxembourg,Iceland,1.55,1.08,0.47,3,1,2,13,8,5,1.6,3,0.375,44,1.63,1.2,0.43,2.76,3.15,1,1
1694264400,Sep 09 2023 - 1:00pm,Azerbaijan,Belgium,0.88,2.5,-1.62,0,1,4,8,5,7,0.714285714,-2,0,46,1.13,1.82,-0.69,13,6.5,0,0
1694275200,Sep 09 2023 - 4:00pm,Ukraine,England,2,2.5,-0.5,1,1,2,3,2,5,0.4,-3,0.5,32,0.43,1.47,-1.04,7.3,4.47,0,0
1694275200,Sep 09 2023 - 4:00pm,Andorra,Belarus,0.2,1.2,-1,0,0,1,4,2,4,0.5,-2,0,27,0.57,1.46,-0.89,4.82,3.23,0,0
1694275200,Sep 09 2023 - 4:00pm,Estonia,Sweden,0.11,1.25,-1.14,0,5,1,4,0,11,0,-11,0,33,0.47,2.3,-1.83,8.47,4.97,0,0
1694285100,Sep 09 2023 - 6:45pm,FYR Macedonia,Italy,1,1.75,-0.75,1,1,5,7,4,4,1,0,0.25,27,0.9,1.19,-0.29,9.35,5.1,0,0
1694285100,Sep 09 2023 - 6:45pm,Romania,Israel,2.2,1.36,0.84,1,1,3,8,4,6,0.666666667,-2,0.25,38,1.13,1.5,-0.37,2,3.42,0,1
1694285100,Sep 09 2023 - 6:45pm,Kosovo,Switzerland,1.1,1.7,-0.6,2,2,3,11,6,6,1,0,0.333333333,34,1.5,1.64,-0.14,5.4,3.83,0,0
1694350800,Sep 10 2023 - 1:00pm,Kazakhstan,Northern Ireland,1.64,0.9,0.74,1,0,3,9,5,5,1,0,0.2,42,1.18,1.47,-0.29,2.7,3.1,1,1
1694361600,Sep 10 2023 - 4:00pm,Faroe Islands,Moldova,0.25,1.25,-1,0,1,8,7,0,4,0,-4,0,68,0.9,1.13,-0.23,2.95,3.1,0,0
1694361600,Sep 10 2023 - 4:00pm,Montenegro,Bulgaria,1.38,0.5,0.88,2,1,3,9,6,8,0.75,-2,0.333333333,48,1.33,1.85,-0.52,2.05,3.3,1,1
1694361600,Sep 10 2023 - 4:00pm,Finland,Denmark,1.64,2.2,-0.56,0,1,1,3,0,7,0,-7,0,31,0.38,1.83,-1.45,5,3.7,0,0
1694371500,Sep 10 2023 - 6:45pm,Republic of Ireland,Netherlands,0.75,2.25,-1.5,1,2,6,5,2,6,0.333333333,-4,0.5,52,0.8,1.27,-0.47,1.5,3,0,0
1694371500,Sep 10 2023 - 6:45pm,Greece,Gibraltar,1.7,0,1.7,5,0,16,18,13,0,13,13,0.384615385,78,2.79,0.04,2.75,1.03,21,1,1
1694371500,Sep 10 2023 - 6:45pm,Albania,Poland,1.88,1.5,0.38,2,0,1,8,4,3,1.333333333,1,0.5,42,0.94,1.16,-0.22,3.4,3.3,1,1
1694371500,Sep 10 2023 - 6:45pm,Lithuania,Serbia,0.75,1.75,-1,1,3,1,7,4,6,0.666666667,-2,0.25,39,0.87,1.6,-0.73,9.5,5.75,0,0
1694371500,Sep 10 2023 - 6:45pm,San Marino,Slovenia,0,2.2,-2.2,0,4,0,3,2,10,0.2,-8,0,23,0.35,2.39,-2.04,61,15,0,0
1694448000,Sep 11 2023 - 4:00pm,Armenia,Croatia,1,2,-1,0,1,4,5,3,9,0.333333333,-6,0,32,0.75,2.28,-1.53,8.5,4.8,0,0
1694457900,Sep 11 2023 - 6:45pm,Latvia,Wales,0.38,1.6,-1.22,0,2,2,9,3,10,0.3,-7,0,42,0.97,2.41,-1.44,8.25,4.8,0,0
1694457900,Sep 11 2023 - 6:45pm,Iceland,Bosnia-Herzegovina,1.08,0.82,0.26,1,0,4,5,3,5,0.6,-2,0.333333333,41,0.76,1.59,-0.83,2.75,3,1,0
1694457900,Sep 11 2023 - 6:45pm,Portugal,Luxembourg,3,1.55,1.45,9,0,5,20,11,2,5.5,9,0.818181818,67,2.47,0.47,2,1.05,17,1,1
1694457900,Sep 11 2023 - 6:45pm,Slovakia,Liechtenstein,2.2,0,2.2,3,0,7,11,6,0,6,6,0.5,80,1.65,0.24,1.41,1.06,15,1,1
1694544300,Sep 12 2023 - 6:45pm,Norway,Georgia,1.38,1.2,0.18,2,1,6,13,5,3,1.666666667,2,0.4,63,1.95,0.71,1.24,1.3,5.2,1,0
1694544300,Sep 12 2023 - 6:45pm,Spain,Cyprus,2.63,0,2.63,6,0,14,23,13,2,6.5,11,0.461538462,81,3.27,0.34,2.93,1.02,16,1,1
1694544300,Sep 12 2023 - 6:45pm,Italy,Ukraine,1.75,2,-0.25,2,1,6,15,6,4,1.5,2,0.333333333,64,2.05,1.07,0.98,1.42,4.4,1,1
1694544300,Sep 12 2023 - 6:45pm,Malta,FYR Macedonia,0,1,-1,0,2,3,7,3,6,0.5,-3,0,53,1,1.06,-0.06,6.5,3.3,0,0
1694544300,Sep 12 2023 - 6:45pm,Belgium,Estonia,2.5,0.11,2.39,5,0,9,19,12,0,12,12,0.416666667,76,2.68,0.22,2.46,1.07,10.5,1,1
1694544300,Sep 12 2023 - 6:45pm,Sweden,Austria,1.25,2.38,-1.13,1,3,6,11,5,7,0.714285714,-2,0.2,47,1.56,1.36,0.2,2.45,2.95,0,0
1694544300,Sep 12 2023 - 6:45pm,Switzerland,Andorra,1.7,0.2,1.5,3,0,8,20,4,0,4,4,0.75,85,2.2,0.08,2.12,1.03,13,1,0
1694544300,Sep 12 2023 - 6:45pm,Israel,Belarus,1.36,1.2,0.16,1,0,5,17,8,6,1.333333333,2,0.125,68,2.36,1.17,1.19,1.4,4.7,1,1
1694544300,Sep 12 2023 - 6:45pm,Romania,Kosovo,2.2,1.1,1.1,2,0,5,16,9,5,1.8,4,0.222222222,72,2.07,1.01,1.06,1.77,3.4,1,1
1697126400,Oct 12 2023 - 4:00pm,Latvia,Armenia,0.38,1,-0.62,2,0,5,11,9,3,3,6,0.222222222,36,1.63,1.38,0.25,4.08,3.37,1,1
